fragment_id,fragment_file,source_file,source_category,file_type,extension,offset,size_bytes,is_header,is_footer,fragment_index,total_fragments,sha256
FRAG_000001,FRAG_000001.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,0,4096,True,False,0,13,1750eea8bc9837f25f683b947d0f9328b0dd282c1c2bbc4a32457630cdb808e5
FRAG_000002,FRAG_000002.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,4096,4096,False,False,1,13,bbf88d30724c9bd1ce9b39386b7b25253024d461f4c6bb33475e0ad031d0e2da
FRAG_000003,FRAG_000003.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,8192,4096,False,False,2,13,306b799ffd77f988aff280703de793c2765cf283b43271f7cd3038e2ad8aaa55
FRAG_000004,FRAG_000004.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,12288,4096,False,False,3,13,d4f455f6dab60c2f3e59c019cd55b03e0625240d977dc5178a9ca18b3cb7539b
FRAG_000005,FRAG_000005.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,16384,4096,False,False,4,13,9e98ca095b5098082cdf5436148aad58c67d3b4874d1010ef39b0a4b99257b21
FRAG_000006,FRAG_000006.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,20480,4096,False,False,5,13,debffb049e0237c4a1740f342033b7893c836ba5745734e3d81a1d4bf96a22e5
FRAG_000007,FRAG_000007.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,24576,4096,False,False,6,13,aaa91514ffa8be5ec37729c66335a5b9621c4f6bac36b8674b11c9b73b1ce0a6
FRAG_000008,FRAG_000008.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,28672,4096,False,False,7,13,64fa5db6ae83556697935b3aa69f56f86a3c6a25bb9202ba5fc7c118cbc96c7a
FRAG_000009,FRAG_000009.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,32768,4096,False,False,8,13,a0cd11ba036c3245e2486ad221061a38c76ecad4145d91d2e852c5450d64b2bc
FRAG_000010,FRAG_000010.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,36864,4096,False,False,9,13,5c3c4e8d7450ffe96472f2679f1f7ac09d5652ebcc228ebc282acbae915ad7e7
FRAG_000011,FRAG_000011.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,40960,4096,False,False,10,13,dc24172c57c8ed9f3a3bcf7dc8a4960917d5a34cfd106ea48a645a79fc1efa1f
FRAG_000012,FRAG_000012.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,45056,4096,False,False,11,13,c57dd201953bfa10be496e0b7e39e5c7160988670845c45eb8d67f5422c86ef8
FRAG_000013,FRAG_000013.bin,sample_jpeg_001.jpeg,jpeg,jpeg,.jpeg,49152,1254,False,True,12,13,a55dc2e4bd948160e535d40157674b3c521280284c262068ff5ade6e03b5941f
FRAG_000014,FRAG_000014.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,0,4096,True,False,0,12,baa75682dce41a7ea18879ff1789e5538a760e76dfb91d46859be2481b91068b
FRAG_000015,FRAG_000015.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,4096,4096,False,False,1,12,644982f89fff1810654f6ef47559d3559cb1486de1ff19042c19925c44ec5797
FRAG_000016,FRAG_000016.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,8192,4096,False,False,2,12,be87e7f98f81abfd0d381ec5a6fe2032ca8f0c43c0dcd11a741dfac62cdb5831
FRAG_000017,FRAG_000017.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,12288,4096,False,False,3,12,7dddb40e0274d247ceec378a4e29619ea710d1d697b02d234425b84713e1f682
FRAG_000018,FRAG_000018.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,16384,4096,False,False,4,12,b01ac65e2841e37312a23ed3087bc2f3892380ac49a346fe04b5ab10293613e4
FRAG_000019,FRAG_000019.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,20480,4096,False,False,5,12,39437711675b0e48154fe9a58a9d11e2d0173db554ffdcc11bdd1ffa58e41a85
FRAG_000020,FRAG_000020.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,24576,4096,False,False,6,12,05fe5ee9cfc073e085e581e0f67e3790ff54deee0541562664b4904a24accfae
FRAG_000021,FRAG_000021.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,28672,4096,False,False,7,12,85d412aa08edbfa49fb8f142eed14716f9443c904051bdadc5214c21ddf03f7b
FRAG_000022,FRAG_000022.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,32768,4096,False,False,8,12,70f690c6f087f9fd5b9182dabdccef712d6c4344ea76b35e9a8762d692305147
FRAG_000023,FRAG_000023.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,36864,4096,False,False,9,12,d162e456f843cdb43537c8f7047331a779a773f6248f655109c3a51702d8a507
FRAG_000024,FRAG_000024.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,40960,4096,False,False,10,12,9d47c9982c8098f0ada4cb1e5372492eb4620838bf1102299663c8302a119e4a
FRAG_000025,FRAG_000025.bin,sample_jpeg_002.jpeg,jpeg,jpeg,.jpeg,45056,210,False,True,11,12,4db4977e81f73e9c550a0d486bb7589fa19f1f002713ee8517e8cb5b8a1c86b4
FRAG_000026,FRAG_000026.bin,sample_jpeg_003.jpg,jpeg,jpeg,.jpg,0,4096,True,False,0,8,361f79f7f90e8ceee23de2aa009787a2c7b48f0682b0de72968b5cafdac07d9a
FRAG_000027,FRAG_000027.bin,sample_jpeg_003.jpg,jpeg,jpeg,.jpg,4096,4096,False,False,1,8,c88240f5b0a76e3a24a482d25862bfd5d03b81e7da6c65ea6fd2c9cd857d40ef
FRAG_000028,FRAG_000028.bin,sample_jpeg_003.jpg,jpeg,jpeg,.jpg,8192,4096,False,False,2,8,42aa605c913e7e30a0f9bb47e30df07795b070429f4d66560c7d146b07add875
FRAG_000029,FRAG_000029.bin,sample_jpeg_003.jpg,jpeg,jpeg,.jpg,12288,4096,False,False,3,8,0b8f20384cadb878bd240cb4aa0941f0ca9a87da821ce0c3c04e636e880972c3
FRAG_000030,FRAG_000030.bin,sample_jpeg_003.jpg,jpeg,jpeg,.jpg,16384,4096,False,False,4,8,9b992484c2941ec5c2d313580cd43cbd6452825101f8cacc32278fac775cac14
FRAG_000031,FRAG_000031.bin,sample_jpeg_003.jpg,jpeg,jpeg,.jpg,20480,4096,False,False,5,8,081fa0579bb3774cf80e12accfb855df680092639a39e5e6abe28165693da35e
FRAG_000032,FRAG_000032.bin,sample_jpeg_003.jpg,jpeg,jpeg,.jpg,24576,4096,False,False,6,8,119af6ea738dd3e1e1d062e55404a20b33964b1abe687ed78073a4835b237c76
FRAG_000033,FRAG_000033.bin,sample_jpeg_003.jpg,jpeg,jpeg,.jpg,28672,962,False,True,7,8,726573b8bbf9ad32353447b40c0e5416a9f825b7dcb6ef6e61a6146fb4a5ae35
FRAG_000034,FRAG_000034.bin,sample_jpeg_004.jpeg,jpeg,jpeg,.jpeg,0,4096,True,False,0,8,6950aacb51fcd9d70ddac17c2d25e5b20fa42dc975c6eae19d8765e25369b9fe
FRAG_000035,FRAG_000035.bin,sample_jpeg_004.jpeg,jpeg,jpeg,.jpeg,4096,4096,False,False,1,8,4078e8f8c377b00c1100bb53c16aa1f4a9a5f3bbd071205c28b22dbbbe39814a
FRAG_000036,FRAG_000036.bin,sample_jpeg_004.jpeg,jpeg,jpeg,.jpeg,8192,4096,False,False,2,8,e74a9b5c3ae569e6b1533254bf4fe21c537408968008b450bac1e747c3f06b84
FRAG_000037,FRAG_000037.bin,sample_jpeg_004.jpeg,jpeg,jpeg,.jpeg,12288,4096,False,False,3,8,9584989d5ef18da1ffdaea2b4a7db36068299403f25a861ab617698d4fd80cf5
FRAG_000038,FRAG_000038.bin,sample_jpeg_004.jpeg,jpeg,jpeg,.jpeg,16384,4096,False,False,4,8,5e2919a17ce2541424bce23ae38a6dc8315cf43889df56564d20f3368f148b63
FRAG_000039,FRAG_000039.bin,sample_jpeg_004.jpeg,jpeg,jpeg,.jpeg,20480,4096,False,False,5,8,7d35c644d5970d397f8dda466afb407acbb670406582f6e3f0a27a892c59da3d
FRAG_000040,FRAG_000040.bin,sample_jpeg_004.jpeg,jpeg,jpeg,.jpeg,24576,4096,False,False,6,8,9fe0cc550002b2883216fd14807d4a5ae5464473b9efbb9ba105b5f935b9dd08
FRAG_000041,FRAG_000041.bin,sample_jpeg_004.jpeg,jpeg,jpeg,.jpeg,28672,697,False,True,7,8,15c076d6f59f1948c5e58ecce6900b78d514d5cf530d1971e394254f3e5df86f
FRAG_000042,FRAG_000042.bin,sample_jpeg_005.jpg,jpeg,jpeg,.jpg,0,4096,True,False,0,6,7bf3a440caa3d6ae9b48793e6aecd157d6ad39b1808266514feaccaf029d6b48
FRAG_000043,FRAG_000043.bin,sample_jpeg_005.jpg,jpeg,jpeg,.jpg,4096,4096,False,False,1,6,81bda17ebe72a23720ad7a799000533fcf8a24eb4e893582f71bac40d25d3546
FRAG_000044,FRAG_000044.bin,sample_jpeg_005.jpg,jpeg,jpeg,.jpg,8192,4096,False,False,2,6,9f49bf20dfde0421a420c4c9a1881f429e8b17522bd841c9a3264469c0ccb5ed
FRAG_000045,FRAG_000045.bin,sample_jpeg_005.jpg,jpeg,jpeg,.jpg,12288,4096,False,False,3,6,2b678410ae71fed465f076ccf76408820a59ce3da81d990c060654e14331c801
FRAG_000046,FRAG_000046.bin,sample_jpeg_005.jpg,jpeg,jpeg,.jpg,16384,4096,False,False,4,6,d3077953bf25fd27362394e136d2b4095f1ebd4b2178812ccd9307a71f502236
FRAG_000047,FRAG_000047.bin,sample_jpeg_005.jpg,jpeg,jpeg,.jpg,20480,3872,False,True,5,6,4ef4bd43b3e8f62f0df04f395f1c15de4e33a0310b8d83d82084dbecc122b0db
FRAG_000048,FRAG_000048.bin,sample_jpeg_006.jpg,jpeg,jpeg,.jpg,0,4096,True,False,0,5,72a6db5465839c7330f7542f202343797a90726ec5f9d556e33c0c52ba67b5b5
FRAG_000049,FRAG_000049.bin,sample_jpeg_006.jpg,jpeg,jpeg,.jpg,4096,4096,False,False,1,5,24ea2fbdebf475f5cf2c1bb7d7b2ff8ec4d0a0cacd995b1ffd742c4eb4560c89
FRAG_000050,FRAG_000050.bin,sample_jpeg_006.jpg,jpeg,jpeg,.jpg,8192,4096,False,False,2,5,bbe8718bc06bc6cf8e96a320a12a78d68cac281af696bcfe95a2ed15b2e0065d
FRAG_000051,FRAG_000051.bin,sample_jpeg_006.jpg,jpeg,jpeg,.jpg,12288,4096,False,False,3,5,bd0b53df62957bcad31b0de3af59c34009ae19452a499bc4afeef151d1f0513d
FRAG_000052,FRAG_000052.bin,sample_jpeg_006.jpg,jpeg,jpeg,.jpg,16384,197,False,True,4,5,deacc97f9c3d7698b17b56669f6a8d4f91f637ba9d81c449ba5d3f58fbdfadf6
FRAG_000053,FRAG_000053.bin,sample_jpeg_007.jpg,jpeg,jpeg,.jpg,0,4096,True,False,0,6,809f5e4fe24d2c262662cac2c86115fda6497633d27c147279215728bb31289b
FRAG_000054,FRAG_000054.bin,sample_jpeg_007.jpg,jpeg,jpeg,.jpg,4096,4096,False,False,1,6,46508d2a94fc1a8b480c3522b54b716dd18b56959b80b03c62841995b5e190ea
FRAG_000055,FRAG_000055.bin,sample_jpeg_007.jpg,jpeg,jpeg,.jpg,8192,4096,False,False,2,6,d855d68f2f3b5c573accd2087fa7a61e9457ee6e826caf8b89840610071fde41
FRAG_000056,FRAG_000056.bin,sample_jpeg_007.jpg,jpeg,jpeg,.jpg,12288,4096,False,False,3,6,2bd31433dc81dcb9ea9d8cafa02eeef93231fd33e9780bee4b0cad85fe6ac504
FRAG_000057,FRAG_000057.bin,sample_jpeg_007.jpg,jpeg,jpeg,.jpg,16384,4096,False,False,4,6,9d9c92c509669a94fadedb05edada1503d407278d69633041bc701a4d719e077
FRAG_000058,FRAG_000058.bin,sample_jpeg_007.jpg,jpeg,jpeg,.jpg,20480,3114,False,True,5,6,ccefa5ba5162bb7f1cc7087ec1a3bd0516999c93de5ffc6d9b59925e47c2215d
FRAG_000059,FRAG_000059.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,0,4096,True,False,0,11,4643c6b26126afa8d6c57122a40cce2d8927dcf07837ba6131ec9ca4bd99509a
FRAG_000060,FRAG_000060.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,4096,4096,False,False,1,11,ecc041a7b961f372e37764923948cd7941ee503ed87a3cd4354f4090d378abe1
FRAG_000061,FRAG_000061.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,8192,4096,False,False,2,11,df078510333da9643334a043a68317bfbac7018c41a24da4f50beb5bb5501dfd
FRAG_000062,FRAG_000062.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,12288,4096,False,False,3,11,f7009101ec618601f63c33fb46b036037b0dd70b862822dc6008c420b9cc4573
FRAG_000063,FRAG_000063.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,16384,4096,False,False,4,11,6e296fa0d6001abe67ed3eeaf00e7cf644dc670c0f596714772000edb4077bbf
FRAG_000064,FRAG_000064.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,20480,4096,False,False,5,11,29caa7212c3f42b3321265e73c262495e7fa02673189dc419dcce047dfc496e1
FRAG_000065,FRAG_000065.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,24576,4096,False,False,6,11,29c304981acfc11eb8c88f64bc11bfada7d015b505fc2f0066de068aab3ccec7
FRAG_000066,FRAG_000066.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,28672,4096,False,False,7,11,4c5d29b87dddda1777666c6fe46b42821b5c9291e70f78de770aba8cafbb69e2
FRAG_000067,FRAG_000067.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,32768,4096,False,False,8,11,9d8b8917688e9256c1429b982ceffd24293ed3d28bcd5b3b489864108dd0585b
FRAG_000068,FRAG_000068.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,36864,4096,False,False,9,11,6faa2ca6e2b9bc8df0097e286e0de7d55e9b64368a3ec48a61ae26d530c2b26e
FRAG_000069,FRAG_000069.bin,sample_jpeg_008.jpeg,jpeg,jpeg,.jpeg,40960,2798,False,True,10,11,4bfc819b17363d8efc55cb064df195e8f45060fc64fb45100c93afddd5687716
FRAG_000070,FRAG_000070.bin,sample_jpeg_009.jpeg,jpeg,jpeg,.jpeg,0,4096,True,False,0,8,efea91c0e3cbe5b0100f8096a3448fd3ec186dda51800a1bf76f3d04c65bb4db
