pair_id,frag_a_id,frag_b_id,frag_a_file,frag_b_file,source_a,source_b,type_a,type_b,index_a,index_b,is_header_a,is_footer_b,label,pair_type
PAIR_NEG_000793,FRAG_000934,FRAG_000016,FRAG_000934.bin,FRAG_000016.bin,sample_png_016.png,sample_jpeg_002.jpeg,png,jpeg,7,2,0,0,0,negative_diff_type
PAIR_NEG_000006,FRAG_000463,FRAG_000742,FRAG_000463.bin,FRAG_000742.bin,sample_pdf_011.pdf,sample_pdf_023.pdf,pdf,pdf,10,0,0,0,0,negative_same_type
PAIR_NEG_000710,FRAG_001001,FRAG_000917,FRAG_001001.bin,FRAG_000917.bin,sample_png_023.png,sample_png_014.png,png,png,5,6,0,0,0,negative_same_type
PAIR_NEG_001448,FRAG_000900,FRAG_000743,FRAG_000900.bin,FRAG_000743.bin,sample_png_012.png,sample_pdf_023.pdf,png,pdf,3,1,0,0,0,negative_diff_type
PAIR_POS_000118,FRAG_000132,FRAG_000133,FRAG_000132.bin,FRAG_000133.bin,sample_jpeg_015.jpeg,sample_jpeg_015.jpeg,jpeg,jpeg,7,8,0,0,1,consecutive_neighbor
PAIR_NEG_000669,FRAG_001505,FRAG_001477,FRAG_001505.bin,FRAG_001477.bin,sample_zip_014.zip,sample_zip_011.zip,zip,zip,2,14,0,0,0,negative_same_type
PAIR_POS_001344,FRAG_001452,FRAG_001453,FRAG_001452.bin,FRAG_001453.bin,sample_zip_009.zip,sample_zip_009.zip,zip,zip,8,9,0,0,1,consecutive_neighbor
PAIR_NEG_001355,FRAG_000787,FRAG_000119,FRAG_000787.bin,FRAG_000119.bin,sample_pdf_025.pdf,sample_jpeg_013.jpeg,pdf,jpeg,19,7,0,0,0,negative_diff_type
PAIR_NEG_001321,FRAG_000107,FRAG_000781,FRAG_000107.bin,FRAG_000781.bin,sample_jpeg_012.jpg,sample_pdf_025.pdf,jpeg,pdf,8,13,0,0,0,negative_diff_type
PAIR_NEG_000193,FRAG_001255,FRAG_001157,FRAG_001255.bin,FRAG_001157.bin,sample_text_016.json,sample_text_011.json,text,text,17,10,0,0,0,negative_same_type
PAIR_NEG_000721,FRAG_000963,FRAG_000996,FRAG_000963.bin,FRAG_000996.bin,sample_png_019.png,sample_png_023.png,png,png,6,0,0,0,0,negative_same_type
PAIR_NEG_000625,FRAG_000959,FRAG_000998,FRAG_000959.bin,FRAG_000998.bin,sample_png_019.png,sample_png_023.png,png,png,2,2,0,0,0,negative_same_type
PAIR_POS_001132,FRAG_001221,FRAG_001222,FRAG_001221.bin,FRAG_001222.bin,sample_text_015.json,sample_text_015.json,text,text,16,17,0,0,1,consecutive_neighbor
PAIR_POS_001435,FRAG_001551,FRAG_001552,FRAG_001551.bin,FRAG_001552.bin,sample_zip_017.zip,sample_zip_017.zip,zip,zip,7,8,0,0,1,consecutive_neighbor
PAIR_NEG_001013,FRAG_000475,FRAG_000023,FRAG_000475.bin,FRAG_000023.bin,sample_pdf_011.pdf,sample_jpeg_002.jpeg,pdf,jpeg,22,9,0,0,0,negative_diff_type
PAIR_POS_000992,FRAG_001070,FRAG_001071,FRAG_001070.bin,FRAG_001071.bin,sample_text_004.json,sample_text_004.json,text,text,3,4,0,0,1,consecutive_neighbor
PAIR_NEG_000815,FRAG_001394,FRAG_001201,FRAG_001394.bin,FRAG_001201.bin,sample_zip_003.zip,sample_text_014.txt,zip,text,9,4,0,0,0,negative_diff_type
PAIR_NEG_001201,FRAG_000655,FRAG_000997,FRAG_000655.bin,FRAG_000997.bin,sample_pdf_019.pdf,sample_png_023.png,pdf,png,22,1,0,0,0,negative_diff_type
PAIR_POS_000956,FRAG_001031,FRAG_001032,FRAG_001031.bin,FRAG_001032.bin,sample_text_001.json,sample_text_001.json,text,text,6,7,0,0,1,consecutive_neighbor
PAIR_NEG_000744,FRAG_000522,FRAG_000268,FRAG_000522.bin,FRAG_000268.bin,sample_pdf_013.pdf,sample_pdf_002.pdf,pdf,pdf,4,9,0,0,0,negative_same_type
PAIR_NEG_000568,FRAG_001433,FRAG_001515,FRAG_001433.bin,FRAG_001515.bin,sample_zip_008.zip,sample_zip_014.zip,zip,zip,1,12,0,0,0,negative_same_type
PAIR_POS_000263,FRAG_000290,FRAG_000291,FRAG_000290.bin,FRAG_000291.bin,sample_pdf_003.pdf,sample_pdf_003.pdf,pdf,pdf,10,11,0,0,1,consecutive_neighbor
PAIR_NEG_001390,FRAG_001626,FRAG_000036,FRAG_001626.bin,FRAG_000036.bin,sample_zip_025.zip,sample_jpeg_004.jpeg,zip,jpeg,3,2,0,0,0,negative_diff_type
PAIR_NEG_000627,FRAG_001211,FRAG_001287,FRAG_001211.bin,FRAG_001287.bin,sample_text_015.json,sample_text_019.txt,text,text,6,0,0,0,0,negative_same_type
PAIR_POS_001481,FRAG_001601,FRAG_001602,FRAG_001601.bin,FRAG_001602.bin,sample_zip_021.zip,sample_zip_021.zip,zip,zip,12,13,0,1,1,consecutive_neighbor
PAIR_NEG_000081,FRAG_001206,FRAG_001241,FRAG_001206.bin,FRAG_001241.bin,sample_text_015.json,sample_text_016.json,text,text,1,3,0,0,0,negative_same_type
PAIR_POS_000465,FRAG_000501,FRAG_000502,FRAG_000501.bin,FRAG_000502.bin,sample_pdf_012.pdf,sample_pdf_012.pdf,pdf,pdf,18,19,0,0,1,consecutive_neighbor
PAIR_NEG_000244,FRAG_001103,FRAG_001247,FRAG_001103.bin,FRAG_001247.bin,sample_text_007.csv,sample_text_016.json,text,text,5,9,0,0,0,negative_same_type
PAIR_NEG_001250,FRAG_001072,FRAG_000891,FRAG_001072.bin,FRAG_000891.bin,sample_text_004.json,sample_png_011.png,text,png,5,3,0,0,0,negative_diff_type
PAIR_NEG_001035,FRAG_000879,FRAG_001414,FRAG_000879.bin,FRAG_001414.bin,sample_png_009.png,sample_zip_006.zip,png,zip,10,4,0,0,0,negative_diff_type
PAIR_POS_000327,FRAG_000357,FRAG_000358,FRAG_000357.bin,FRAG_000358.bin,sample_pdf_006.pdf,sample_pdf_006.pdf,pdf,pdf,9,10,0,0,1,consecutive_neighbor
PAIR_POS_001146,FRAG_001235,FRAG_001236,FRAG_001235.bin,FRAG_001236.bin,sample_text_015.json,sample_text_015.json,text,text,30,31,0,0,1,consecutive_neighbor
PAIR_NEG_000151,FRAG_001574,FRAG_001539,FRAG_001574.bin,FRAG_001539.bin,sample_zip_019.zip,sample_zip_016.zip,zip,zip,6,9,0,0,0,negative_same_type
PAIR_NEG_001051,FRAG_000492,FRAG_001013,FRAG_000492.bin,FRAG_001013.bin,sample_pdf_012.pdf,sample_png_025.png,pdf,png,9,2,0,0,0,negative_diff_type
PAIR_NEG_000575,FRAG_000620,FRAG_000308,FRAG_000620.bin,FRAG_000308.bin,sample_pdf_018.pdf,sample_pdf_004.pdf,pdf,pdf,17,2,0,0,0,negative_same_type
PAIR_NEG_001166,FRAG_000721,FRAG_001289,FRAG_000721.bin,FRAG_001289.bin,sample_pdf_022.pdf,sample_text_019.txt,pdf,text,1,2,0,0,0,negative_diff_type
PAIR_POS_000574,FRAG_000616,FRAG_000617,FRAG_000616.bin,FRAG_000617.bin,sample_pdf_018.pdf,sample_pdf_018.pdf,pdf,pdf,13,14,0,0,1,consecutive_neighbor
PAIR_NEG_000385,FRAG_001165,FRAG_001029,FRAG_001165.bin,FRAG_001029.bin,sample_text_011.json,sample_text_001.json,text,text,18,4,0,0,0,negative_same_type
PAIR_NEG_000991,FRAG_000768,FRAG_000145,FRAG_000768.bin,FRAG_000145.bin,sample_pdf_025.pdf,sample_jpeg_016.jpeg,pdf,jpeg,0,5,1,0,0,negative_diff_type
PAIR_POS_001254,FRAG_001352,FRAG_001353,FRAG_001352.bin,FRAG_001353.bin,sample_text_024.txt,sample_text_024.txt,text,text,11,12,0,0,1,consecutive_neighbor
PAIR_NEG_000652,FRAG_001294,FRAG_001235,FRAG_001294.bin,FRAG_001235.bin,sample_text_019.txt,sample_text_015.json,text,text,7,30,0,0,0,negative_same_type
PAIR_NEG_000317,FRAG_000901,FRAG_000973,FRAG_000901.bin,FRAG_000973.bin,sample_png_012.png,sample_png_020.png,png,png,4,4,0,1,0,negative_same_type
PAIR_POS_000407,FRAG_000440,FRAG_000441,FRAG_000440.bin,FRAG_000441.bin,sample_pdf_009.pdf,sample_pdf_009.pdf,pdf,pdf,30,31,0,0,1,consecutive_neighbor
PAIR_NEG_000572,FRAG_000686,FRAG_000582,FRAG_000686.bin,FRAG_000582.bin,sample_pdf_020.pdf,sample_pdf_016.pdf,pdf,pdf,13,21,0,1,0,negative_same_type
PAIR_NEG_000160,FRAG_000134,FRAG_000207,FRAG_000134.bin,FRAG_000207.bin,sample_jpeg_015.jpeg,sample_jpeg_024.jpeg,jpeg,jpeg,9,2,0,0,0,negative_same_type
PAIR_NEG_000725,FRAG_000257,FRAG_000337,FRAG_000257.bin,FRAG_000337.bin,sample_pdf_001.pdf,sample_pdf_005.pdf,pdf,pdf,32,23,0,0,0,negative_same_type
PAIR_NEG_000967,FRAG_000132,FRAG_001167,FRAG_000132.bin,FRAG_001167.bin,sample_jpeg_015.jpeg,sample_text_011.json,jpeg,text,7,20,0,0,0,negative_diff_type
PAIR_NEG_000732,FRAG_001562,FRAG_001530,FRAG_001562.bin,FRAG_001530.bin,sample_zip_018.zip,sample_zip_016.zip,zip,zip,4,0,0,0,0,negative_same_type
PAIR_POS_001018,FRAG_001099,FRAG_001100,FRAG_001099.bin,FRAG_001100.bin,sample_text_007.csv,sample_text_007.csv,text,text,1,2,0,0,1,consecutive_neighbor
PAIR_NEG_001194,FRAG_001157,FRAG_000903,FRAG_001157.bin,FRAG_000903.bin,sample_text_011.json,sample_png_013.png,text,png,10,0,0,0,0,negative_diff_type
PAIR_POS_001270,FRAG_001370,FRAG_001371,FRAG_001370.bin,FRAG_001371.bin,sample_zip_001.zip,sample_zip_001.zip,zip,zip,0,1,1,0,1,consecutive_neighbor
PAIR_NEG_000832,FRAG_000915,FRAG_001075,FRAG_000915.bin,FRAG_001075.bin,sample_png_014.png,sample_text_004.json,png,text,4,8,0,0,0,negative_diff_type
PAIR_POS_001465,FRAG_001584,FRAG_001585,FRAG_001584.bin,FRAG_001585.bin,sample_zip_020.zip,sample_zip_020.zip,zip,zip,8,9,0,0,1,consecutive_neighbor
PAIR_POS_000242,FRAG_000268,FRAG_000269,FRAG_000268.bin,FRAG_000269.bin,sample_pdf_002.pdf,sample_pdf_002.pdf,pdf,pdf,9,10,0,0,1,consecutive_neighbor
PAIR_POS_000075,FRAG_000084,FRAG_000085,FRAG_000084.bin,FRAG_000085.bin,sample_jpeg_010.jpg,sample_jpeg_010.jpg,jpeg,jpeg,6,7,0,0,1,consecutive_neighbor
PAIR_NEG_000943,FRAG_000742,FRAG_001359,FRAG_000742.bin,FRAG_001359.bin,sample_pdf_023.pdf,sample_text_025.log,pdf,text,0,1,1,0,0,negative_diff_type
PAIR_NEG_000397,FRAG_000488,FRAG_000718,FRAG_000488.bin,FRAG_000718.bin,sample_pdf_012.pdf,sample_pdf_021.pdf,pdf,pdf,5,10,0,0,0,negative_same_type
PAIR_NEG_000588,FRAG_001330,FRAG_001299,FRAG_001330.bin,FRAG_001299.bin,sample_text_022.log,sample_text_019.txt,text,text,5,12,0,0,0,negative_same_type
PAIR_POS_000341,FRAG_000372,FRAG_000373,FRAG_000372.bin,FRAG_000373.bin,sample_pdf_007.pdf,sample_pdf_007.pdf,pdf,pdf,2,3,0,0,1,consecutive_neighbor
PAIR_NEG_001119,FRAG_000076,FRAG_001380,FRAG_000076.bin,FRAG_001380.bin,sample_jpeg_009.jpeg,sample_zip_002.zip,jpeg,zip,6,0,0,0,0,negative_diff_type
PAIR_POS_000334,FRAG_000364,FRAG_000365,FRAG_000364.bin,FRAG_000365.bin,sample_pdf_006.pdf,sample_pdf_006.pdf,pdf,pdf,16,17,0,0,1,consecutive_neighbor
PAIR_NEG_000434,FRAG_000170,FRAG_000222,FRAG_000170.bin,FRAG_000222.bin,sample_jpeg_019.jpg,sample_jpeg_025.jpg,jpeg,jpeg,0,8,1,0,0,negative_same_type
PAIR_POS_001202,FRAG_001295,FRAG_001296,FRAG_001295.bin,FRAG_001296.bin,sample_text_019.txt,sample_text_019.txt,text,text,8,9,0,0,1,consecutive_neighbor
PAIR_POS_001483,FRAG_001604,FRAG_001605,FRAG_001604.bin,FRAG_001605.bin,sample_zip_022.zip,sample_zip_022.zip,zip,zip,1,2,0,0,1,consecutive_neighbor
PAIR_POS_001048,FRAG_001131,FRAG_001132,FRAG_001131.bin,FRAG_001132.bin,sample_text_009.txt,sample_text_009.txt,text,text,3,4,0,0,1,consecutive_neighbor
PAIR_NEG_000525,FRAG_001566,FRAG_001606,FRAG_001566.bin,FRAG_001606.bin,sample_zip_018.zip,sample_zip_022.zip,zip,zip,8,3,0,0,0,negative_same_type
PAIR_NEG_001382,FRAG_000436,FRAG_000133,FRAG_000436.bin,FRAG_000133.bin,sample_pdf_009.pdf,sample_jpeg_015.jpeg,pdf,jpeg,26,8,0,0,0,negative_diff_type
PAIR_POS_001127,FRAG_001216,FRAG_001217,FRAG_001216.bin,FRAG_001217.bin,sample_text_015.json,sample_text_015.json,text,text,11,12,0,0,1,consecutive_neighbor
PAIR_NEG_000901,FRAG_001096,FRAG_001525,FRAG_001096.bin,FRAG_001525.bin,sample_text_006.log,sample_zip_015.zip,text,zip,6,5,0,0,0,negative_diff_type
PAIR_POS_000170,FRAG_000190,FRAG_000191,FRAG_000190.bin,FRAG_000191.bin,sample_jpeg_021.jpg,sample_jpeg_021.jpg,jpeg,jpeg,3,4,0,0,1,consecutive_neighbor
PAIR_POS_000558,FRAG_000599,FRAG_000600,FRAG_000599.bin,FRAG_000600.bin,sample_pdf_017.pdf,sample_pdf_017.pdf,pdf,pdf,16,17,0,0,1,consecutive_neighbor
PAIR_POS_000936,FRAG_001009,FRAG_001010,FRAG_001009.bin,FRAG_001010.bin,sample_png_024.png,sample_png_024.png,png,png,3,4,0,1,1,consecutive_neighbor
PAIR_POS_001241,FRAG_001338,FRAG_001339,FRAG_001338.bin,FRAG_001339.bin,sample_text_023.csv,sample_text_023.csv,text,text,1,2,0,0,1,consecutive_neighbor
PAIR_POS_000627,FRAG_000670,FRAG_000671,FRAG_000670.bin,FRAG_000671.bin,sample_pdf_019.pdf,sample_pdf_019.pdf,pdf,pdf,37,38,0,0,1,consecutive_neighbor
PAIR_POS_001061,FRAG_001145,FRAG_001146,FRAG_001145.bin,FRAG_001146.bin,sample_text_010.log,sample_text_010.log,text,text,6,7,0,1,1,consecutive_neighbor
