fragment_a,fragment_b,source_a,source_b,index_a,index_b,label
FRAG_000638,FRAG_000639,sample_pdf_019.pdf,sample_pdf_019.pdf,5,6,1
FRAG_000965,FRAG_000966,sample_png_019.png,sample_png_019.png,8,9,1
FRAG_000261,FRAG_000262,sample_pdf_002.pdf,sample_pdf_002.pdf,2,3,1
FRAG_001033,FRAG_000959,sample_text_001.json,sample_png_019.png,8,2,0
FRAG_001283,FRAG_001284,sample_text_018.csv,sample_text_018.csv,6,7,1
FRAG_001213,FRAG_001214,sample_text_015.json,sample_text_015.json,8,9,1
FRAG_001457,FRAG_001458,sample_zip_010.zip,sample_zip_010.zip,2,3,1
FRAG_001364,FRAG_001365,sample_text_025.log,sample_text_025.log,6,7,1
FRAG_001206,FRAG_000879,sample_text_015.json,sample_png_009.png,1,10,0
FRAG_001366,FRAG_000211,sample_text_025.log,sample_jpeg_024.jpeg,8,6,0
FRAG_000220,FRAG_001521,sample_jpeg_025.jpg,sample_zip_015.zip,6,1,0
FRAG_001273,FRAG_001274,sample_text_017.txt,sample_text_017.txt,7,8,1
FRAG_001136,FRAG_001137,sample_text_009.txt,sample_text_009.txt,8,9,1
FRAG_000265,FRAG_000266,sample_pdf_002.pdf,sample_pdf_002.pdf,6,7,1
FRAG_001309,FRAG_001310,sample_text_020.txt,sample_text_020.txt,7,8,1
FRAG_000743,FRAG_000744,sample_pdf_023.pdf,sample_pdf_023.pdf,1,2,1
FRAG_001480,FRAG_001481,sample_zip_011.zip,sample_zip_011.zip,17,18,1
FRAG_001191,FRAG_001192,sample_text_013.csv,sample_text_013.csv,3,4,1
FRAG_001631,FRAG_000563,sample_zip_025.zip,sample_pdf_016.pdf,8,2,0
FRAG_000764,FRAG_000267,sample_pdf_024.pdf,sample_pdf_002.pdf,9,8,0
FRAG_001331,FRAG_001332,sample_text_022.log,sample_text_022.log,6,7,1
FRAG_001347,FRAG_001348,sample_text_024.txt,sample_text_024.txt,6,7,1
FRAG_000228,FRAG_000581,sample_pdf_001.pdf,sample_pdf_016.pdf,3,20,0
FRAG_001492,FRAG_001493,sample_zip_013.zip,sample_zip_013.zip,2,3,1
FRAG_000104,FRAG_001336,sample_jpeg_012.jpg,sample_text_022.log,5,11,0
FRAG_000756,FRAG_000970,sample_pdf_024.pdf,sample_png_020.png,1,1,0
FRAG_000262,FRAG_000263,sample_pdf_002.pdf,sample_pdf_002.pdf,3,4,1
FRAG_001632,FRAG_001633,sample_zip_025.zip,sample_zip_025.zip,9,10,1
FRAG_000652,FRAG_000653,sample_pdf_019.pdf,sample_pdf_019.pdf,19,20,1
FRAG_000952,FRAG_000953,sample_png_018.png,sample_png_018.png,7,8,1
FRAG_000544,FRAG_000545,sample_pdf_014.pdf,sample_pdf_014.pdf,17,18,1
FRAG_001407,FRAG_000972,sample_zip_005.zip,sample_png_020.png,6,3,0
FRAG_001405,FRAG_000753,sample_zip_005.zip,sample_pdf_023.pdf,4,11,0
FRAG_001176,FRAG_001177,sample_text_012.log,sample_text_012.log,2,3,1
FRAG_001579,FRAG_001580,sample_zip_020.zip,sample_zip_020.zip,3,4,1
FRAG_001508,FRAG_001509,sample_zip_014.zip,sample_zip_014.zip,5,6,1
FRAG_000501,FRAG_000502,sample_pdf_012.pdf,sample_pdf_012.pdf,18,19,1
FRAG_000779,FRAG_000570,sample_pdf_025.pdf,sample_pdf_016.pdf,11,9,0
FRAG_000042,FRAG_001273,sample_jpeg_005.jpg,sample_text_017.txt,0,7,0
FRAG_000346,FRAG_000347,sample_pdf_005.pdf,sample_pdf_005.pdf,32,33,1
FRAG_001579,FRAG_001106,sample_zip_020.zip,sample_text_007.csv,3,8,0
FRAG_000920,FRAG_001395,sample_png_014.png,sample_zip_004.zip,9,0,0
FRAG_000155,FRAG_000289,sample_jpeg_017.jpg,sample_pdf_003.pdf,7,9,0
FRAG_001272,FRAG_000124,sample_text_017.txt,sample_jpeg_014.jpeg,6,3,0
FRAG_000989,FRAG_000990,sample_png_022.png,sample_png_022.png,1,2,1
FRAG_000141,FRAG_000142,sample_jpeg_016.jpeg,sample_jpeg_016.jpeg,1,2,1
FRAG_000825,FRAG_001428,sample_png_004.png,sample_zip_007.zip,10,4,0
FRAG_000184,FRAG_001336,sample_jpeg_020.jpg,sample_text_022.log,2,11,0
FRAG_000651,FRAG_000652,sample_pdf_019.pdf,sample_pdf_019.pdf,18,19,1
FRAG_001162,FRAG_000162,sample_text_011.json,sample_jpeg_018.jpeg,15,0,0
FRAG_000685,FRAG_000686,sample_pdf_020.pdf,sample_pdf_020.pdf,12,13,1
FRAG_001403,FRAG_001404,sample_zip_005.zip,sample_zip_005.zip,2,3,1
FRAG_001218,FRAG_001219,sample_text_015.json,sample_text_015.json,13,14,1
FRAG_000540,FRAG_000541,sample_pdf_014.pdf,sample_pdf_014.pdf,13,14,1
FRAG_000035,FRAG_000036,sample_jpeg_004.jpeg,sample_jpeg_004.jpeg,1,2,1
FRAG_000988,FRAG_000989,sample_png_022.png,sample_png_022.png,0,1,1
FRAG_000342,FRAG_000343,sample_pdf_005.pdf,sample_pdf_005.pdf,28,29,1
FRAG_001611,FRAG_001612,sample_zip_023.zip,sample_zip_023.zip,1,2,1
FRAG_000096,FRAG_000097,sample_jpeg_011.jpeg,sample_jpeg_011.jpeg,4,5,1
FRAG_001390,FRAG_001391,sample_zip_003.zip,sample_zip_003.zip,5,6,1
FRAG_001358,FRAG_001359,sample_text_025.log,sample_text_025.log,0,1,1
FRAG_001528,FRAG_000696,sample_zip_015.zip,sample_pdf_020.pdf,8,23,0
FRAG_001033,FRAG_001034,sample_text_001.json,sample_text_001.json,8,9,1
FRAG_001506,FRAG_000509,sample_zip_014.zip,sample_pdf_012.pdf,3,26,0
FRAG_001572,FRAG_001274,sample_zip_019.zip,sample_text_017.txt,4,8,0
FRAG_000939,FRAG_001273,sample_png_017.png,sample_text_017.txt,0,7,0
FRAG_001467,FRAG_001331,sample_zip_011.zip,sample_text_022.log,4,6,0
FRAG_000562,FRAG_000094,sample_pdf_016.pdf,sample_jpeg_011.jpeg,1,2,0
FRAG_000775,FRAG_000776,sample_pdf_025.pdf,sample_pdf_025.pdf,7,8,1
FRAG_001214,FRAG_001215,sample_text_015.json,sample_text_015.json,9,10,1
FRAG_001606,FRAG_001607,sample_zip_022.zip,sample_zip_022.zip,3,4,1
FRAG_000435,FRAG_000727,sample_pdf_009.pdf,sample_pdf_022.pdf,25,7,0
FRAG_000297,FRAG_000298,sample_pdf_003.pdf,sample_pdf_003.pdf,17,18,1
FRAG_000079,FRAG_000223,sample_jpeg_010.jpg,sample_jpeg_025.jpg,1,9,0
FRAG_000250,FRAG_001175,sample_pdf_001.pdf,sample_text_012.log,25,1,0
FRAG_001029,FRAG_001030,sample_text_001.json,sample_text_001.json,4,5,1
FRAG_001301,FRAG_000351,sample_text_019.txt,sample_pdf_006.pdf,14,3,0
FRAG_001558,FRAG_000759,sample_zip_018.zip,sample_pdf_024.pdf,0,4,0
FRAG_001524,FRAG_001525,sample_zip_015.zip,sample_zip_015.zip,4,5,1
FRAG_000553,FRAG_000554,sample_pdf_015.pdf,sample_pdf_015.pdf,4,5,1
FRAG_000563,FRAG_000564,sample_pdf_016.pdf,sample_pdf_016.pdf,2,3,1
FRAG_000809,FRAG_000029,sample_png_003.png,sample_jpeg_003.jpg,0,3,0
FRAG_001105,FRAG_001547,sample_text_007.csv,sample_zip_017.zip,7,3,0
FRAG_001137,FRAG_001138,sample_text_009.txt,sample_text_009.txt,9,10,1
FRAG_001153,FRAG_001154,sample_text_011.json,sample_text_011.json,6,7,1
FRAG_000159,FRAG_000160,sample_jpeg_017.jpg,sample_jpeg_017.jpg,11,12,1
FRAG_000325,FRAG_000326,sample_pdf_005.pdf,sample_pdf_005.pdf,11,12,1
FRAG_000487,FRAG_000617,sample_pdf_012.pdf,sample_pdf_018.pdf,4,14,0
FRAG_000087,FRAG_000590,sample_jpeg_010.jpg,sample_pdf_017.pdf,9,7,0
FRAG_000558,FRAG_000559,sample_pdf_015.pdf,sample_pdf_015.pdf,9,10,1
FRAG_000236,FRAG_000830,sample_pdf_001.pdf,sample_png_005.png,11,3,0
FRAG_001201,FRAG_000443,sample_text_014.txt,sample_pdf_009.pdf,4,33,0
FRAG_001158,FRAG_001159,sample_text_011.json,sample_text_011.json,11,12,1
FRAG_000990,FRAG_000991,sample_png_022.png,sample_png_022.png,2,3,1
FRAG_001334,FRAG_001335,sample_text_022.log,sample_text_022.log,9,10,1
FRAG_001604,FRAG_001590,sample_zip_022.zip,sample_zip_021.zip,1,1,0
FRAG_000155,FRAG_001416,sample_jpeg_017.jpg,sample_zip_006.zip,7,6,0
FRAG_001107,FRAG_000514,sample_text_007.csv,sample_pdf_012.pdf,9,31,0
FRAG_000779,FRAG_000780,sample_pdf_025.pdf,sample_pdf_025.pdf,11,12,1
FRAG_000820,FRAG_001523,sample_png_004.png,sample_zip_015.zip,5,3,0
FRAG_000230,FRAG_000744,sample_pdf_001.pdf,sample_pdf_023.pdf,5,2,0
FRAG_001548,FRAG_001549,sample_zip_017.zip,sample_zip_017.zip,4,5,1
FRAG_001250,FRAG_000992,sample_text_016.json,sample_png_022.png,12,4,0
FRAG_001518,FRAG_001519,sample_zip_014.zip,sample_zip_014.zip,15,16,1
FRAG_001398,FRAG_001399,sample_zip_004.zip,sample_zip_004.zip,3,4,1
FRAG_001613,FRAG_001614,sample_zip_023.zip,sample_zip_023.zip,3,4,1
FRAG_000024,FRAG_000025,sample_jpeg_002.jpeg,sample_jpeg_002.jpeg,10,11,1
FRAG_000070,FRAG_000071,sample_jpeg_009.jpeg,sample_jpeg_009.jpeg,0,1,1
FRAG_001317,FRAG_000940,sample_text_020.txt,sample_png_017.png,15,1,0
