fragment_a,fragment_b,source_a,source_b,index_a,index_b,index_distance,same_file_type,bfa_cosine_similarity,bfa_euclidean_distance,bfa_manhattan_distance,bfa_correlation,diff_entropy,diff_mean,diff_variance,diff_std,diff_printable_ratio,diff_null_ratio,diff_high_byte_ratio,diff_control_ratio,diff_max_consecutive,seam_byte_difference,seam_avg_difference_4,seam_avg_difference_16,seam_identical,seam_both_null,seam_both_printable,label
FRAG_000638,FRAG_000639,sample_pdf_019.pdf,sample_pdf_019.pdf,5,6,1,1,0.9960614670340803,0.02155565587032787,0.10401,0.9957828107087784,0.11739999999999995,1.2125999999999948,43.34579999999994,0.786800000000003,0.0,0.0,0.0,0.0,0.0,65.0,21.0,19.1875,0,0,1,1
FRAG_000965,FRAG_000966,sample_png_019.png,sample_png_019.png,8,9,1,1,0.9368310118542426,0.022891367368508154,0.28808999999999996,-0.08542500919206154,0.002400000000000624,2.122100000000003,43.43299999999999,0.29220000000000823,0.011200000000000043,0.0007999999999999999,0.014900000000000024,0.006099999999999994,0.0,70.0,57.25,73.625,0,0,0,1
FRAG_000261,FRAG_000262,sample_pdf_002.pdf,sample_pdf_002.pdf,2,3,1,1,0.9999185750464746,0.0031105947984268203,0.015159999999999993,0.9999128636121482,0.011199999999999655,0.12250000000000227,1.9881000000000313,0.036300000000000665,0.0,0.0,0.0,0.0,0.0,2.0,25.25,18.9375,0,0,1,1
FRAG_001033,FRAG_000959,sample_text_001.json,sample_png_019.png,8,2,6,0,0.26787016122023455,0.22165178884908646,1.5927099999999998,0.018809667600381746,2.9718,59.059,4226.7241,38.6166,0.6226,0.0059,0.5076,0.1123,2.0,30.0,50.25,111.25,0,0,1,0
FRAG_001283,FRAG_001284,sample_text_018.csv,sample_text_018.csv,6,7,1,1,0.995960682111986,0.019038915410285327,0.07371000000000003,0.9955755715496573,0.014199999999999768,0.3445000000000036,0.6380999999998949,0.013299999999997425,0.0,0.0,0.0,0.0,0.0,10.0,6.75,41.0,0,0,1,1
FRAG_001213,FRAG_001214,sample_text_015.json,sample_text_015.json,8,9,1,1,0.9993804597312164,0.008205784545063316,0.03655,0.9993325391364432,0.014499999999999957,0.06599999999998829,6.1702000000000226,0.08720000000000283,0.0,0.0,0.0,0.0,0.0,6.0,22.75,30.875,0,0,1,1
FRAG_001457,FRAG_001458,sample_zip_010.zip,sample_zip_010.zip,2,3,1,1,0.9435825527828045,0.021683422239120835,0.27912,0.09743609125225229,0.006800000000000139,3.8722999999999956,90.73989999999958,0.615399999999994,0.0005000000000000004,0.0015,0.016900000000000026,0.01709999999999999,0.0,203.0,149.75,115.375,0,0,0,1
FRAG_001364,FRAG_001365,sample_text_025.log,sample_text_025.log,6,7,1,1,0.9996204795217035,0.005404821921210731,0.014130000000000007,0.9995776090483476,0.0030000000000001137,0.13249999999999318,0.29700000000002547,0.004800000000003024,0.0,0.0,0.0,0.0,0.0,14.0,22.0,26.6875,0,0,1,1
FRAG_001206,FRAG_000879,sample_text_015.json,sample_png_009.png,1,10,9,0,0.278644799863134,0.220661721873097,1.57179,0.06297849146652916,2.973,57.6589,4152.8553,38.1256,0.6073999999999999,0.0037,0.4922,0.1108,2.0,19.0,105.0,96.8125,0,0,1,0
FRAG_001366,FRAG_000211,sample_text_025.log,sample_jpeg_024.jpeg,8,6,2,0,0.2975735041834404,0.18778905266282167,1.6244499999999997,-0.04191548781857343,2.8503,47.74950000000001,4667.3525,44.085899999999995,0.6154999999999999,0.0066,0.4924,0.1194,0.0,47.0,89.0,84.4375,0,0,1,0
FRAG_000220,FRAG_001521,sample_jpeg_025.jpg,sample_zip_015.zip,6,1,5,0,0.9344228332501269,0.02339402915275605,0.29784,-0.028107257583962778,0.008199999999999541,0.19070000000000675,32.25620000000072,0.21769999999999357,0.007099999999999995,0.0063,0.003899999999999959,0.002599999999999991,0.0,105.0,85.25,88.0625,0,0,0,0
FRAG_001273,FRAG_001274,sample_text_017.txt,sample_text_017.txt,7,8,1,1,0.9991933662812268,0.007899683537965305,0.034199999999999994,0.9991027646430736,0.000600000000000378,0.06660000000000821,2.1298000000000457,0.03439999999999799,0.0,0.0,0.0,0.0,1.0,65.0,18.75,24.8125,0,0,1,1
FRAG_001136,FRAG_001137,sample_text_009.txt,sample_text_009.txt,8,9,1,1,0.9995745078687873,0.005749269518817153,0.024429999999999997,0.9995269602913679,0.006400000000000183,0.07150000000000034,2.4038000000000466,0.03900000000000148,0.0,0.0,0.0,0.0,0.0,13.0,23.75,40.625,0,0,1,1
FRAG_000265,FRAG_000266,sample_pdf_002.pdf,sample_pdf_002.pdf,6,7,1,1,0.9998971296265051,0.0034361897502902844,0.014659999999999996,0.9998896197190807,0.0026999999999999247,0.15819999999999368,6.532199999999989,0.12019999999999698,0.0,0.0,0.0,0.0,0.0,12.0,21.75,22.25,0,0,1,1
FRAG_001309,FRAG_001310,sample_text_020.txt,sample_text_020.txt,7,8,1,1,0.9991891036880622,0.008094417829590958,0.03559999999999999,0.9991026318901813,0.03530000000000033,0.046800000000004616,7.580799999999954,0.12270000000000181,0.0,0.0,0.0,0.0,0.0,3.0,15.25,45.9375,0,0,1,1
FRAG_000743,FRAG_000744,sample_pdf_023.pdf,sample_pdf_023.pdf,1,2,1,1,0.9966411779551443,0.019667900243798275,0.09861000000000002,0.9963969087955709,0.05800000000000072,0.17210000000000036,1.1802000000000135,0.021000000000000796,0.0,0.0,0.0,0.0,0.0,9.0,30.0,38.0625,0,0,1,1
