priority_rank,reconstruction_id,fragment_count,reconstruction_confidence,file,file_key,integrity_status,file_type,size,integrity_score,reconstruction_score,fragment_score,priority_score,priority,explanation
1,20,20,0.994920739348371,reconstructed_020.bin,reconstructed_020.bin,valid,pdf,79985,100.0,99.49,100.0,99.85,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
2,46,34,0.9937169913419914,reconstructed_046.bin,reconstructed_046.bin,valid,pdf,138476,100.0,99.37,100.0,99.81,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
3,29,35,0.993466036414566,reconstructed_029.bin,reconstructed_029.bin,valid,pdf,143334,100.0,99.35,100.0,99.8,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
4,63,34,0.9930093795093796,reconstructed_063.bin,reconstructed_063.bin,valid,pdf,138828,100.0,99.3,100.0,99.79,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
5,9,22,0.9927074829931972,reconstructed_009.bin,reconstructed_009.bin,valid,pdf,89320,100.0,99.27,100.0,99.78,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
6,22,30,0.9917169540229884,reconstructed_022.bin,reconstructed_022.bin,valid,pdf,122605,100.0,99.17,100.0,99.75,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
7,30,40,0.9902017704517704,reconstructed_030.bin,reconstructed_030.bin,valid,pdf,161801,100.0,99.02,100.0,99.71,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
8,19,28,0.9891203703703704,reconstructed_019.bin,reconstructed_019.bin,valid,pdf,112365,100.0,98.91,100.0,99.67,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
9,1,22,0.9872726757369614,reconstructed_001.bin,reconstructed_001.bin,valid,pdf,88662,100.0,98.73,100.0,99.62,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
10,59,21,0.98626875,reconstructed_059.bin,reconstructed_059.bin,valid,pdf,84735,100.0,98.63,100.0,99.59,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
11,44,22,0.9859013605442176,reconstructed_044.bin,reconstructed_044.bin,valid,pdf,86999,100.0,98.59,100.0,99.58,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
12,56,30,0.9765108784893268,reconstructed_056.bin,reconstructed_056.bin,valid,pdf,122734,100.0,97.65,100.0,99.3,HIGH,integrity validation passed; very high reconstruction confidence; large reconstructed fragment chain
13,62,19,0.9709886664261664,reconstructed_062.bin,reconstructed_062.bin,valid,zip,74125,100.0,97.1,95.0,98.63,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
14,78,17,0.9757120898664344,reconstructed_078.bin,reconstructed_078.bin,valid,zip,66232,100.0,97.57,85.0,97.77,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
15,92,15,0.974811649659864,reconstructed_092.bin,reconstructed_092.bin,valid,jpeg,58417,100.0,97.48,75.0,96.74,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
16,61,14,0.9836630036630036,reconstructed_061.bin,reconstructed_061.bin,valid,jpeg,56813,100.0,98.37,70.0,96.51,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
17,73,15,0.9650453593299848,reconstructed_073.bin,reconstructed_073.bin,valid,zip,58209,100.0,96.5,75.0,96.45,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
18,66,14,0.9802733739837398,reconstructed_066.bin,reconstructed_066.bin,valid,zip,55777,100.0,98.03,70.0,96.41,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
19,8,14,0.9786378066378064,reconstructed_008.bin,reconstructed_008.bin,valid,png,54117,100.0,97.86,70.0,96.36,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
20,7,13,0.9929340277777776,reconstructed_007.bin,reconstructed_007.bin,valid,pdf,51646,100.0,99.29,65.0,96.29,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
21,110,14,0.9732283133533132,reconstructed_110.bin,reconstructed_110.bin,valid,png,53649,100.0,97.32,70.0,96.2,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
22,89,14,0.9731193613297272,reconstructed_089.bin,reconstructed_089.bin,valid,png,54174,100.0,97.31,70.0,96.19,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
23,105,14,0.971092055302421,reconstructed_105.bin,reconstructed_105.bin,valid,jpeg,54583,100.0,97.11,70.0,96.13,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
24,95,14,0.9690846267553586,reconstructed_095.bin,reconstructed_095.bin,valid,zip,53428,100.0,96.91,70.0,96.07,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
25,127,14,0.967500457875458,reconstructed_127.bin,reconstructed_127.bin,valid,zip,54399,100.0,96.75,70.0,96.03,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
26,23,14,0.967096153846154,reconstructed_023.bin,reconstructed_023.bin,valid,zip,56472,100.0,96.71,70.0,96.01,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
27,16,12,0.991625,reconstructed_016.bin,reconstructed_016.bin,valid,pdf,46487,100.0,99.16,60.0,95.75,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
28,97,13,0.9725927579365078,reconstructed_097.bin,reconstructed_097.bin,valid,zip,51583,100.0,97.26,65.0,95.68,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
29,98,12,0.9875043554006968,reconstructed_098.bin,reconstructed_098.bin,valid,png,47652,100.0,98.75,60.0,95.63,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
30,123,13,0.969912912149955,reconstructed_123.bin,reconstructed_123.bin,valid,jpeg,50406,100.0,96.99,65.0,95.6,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
31,91,13,0.9661359126984128,reconstructed_091.bin,reconstructed_091.bin,valid,zip,53073,100.0,96.61,65.0,95.48,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
32,48,12,0.9798382034632036,reconstructed_048.bin,reconstructed_048.bin,valid,png,48725,100.0,97.98,60.0,95.4,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
33,87,12,0.9748969045859288,reconstructed_087.bin,reconstructed_087.bin,valid,png,47706,100.0,97.49,60.0,95.25,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
34,106,12,0.9748438214901628,reconstructed_106.bin,reconstructed_106.bin,valid,jpeg,45266,100.0,97.48,60.0,95.25,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
35,112,12,0.9686636266849682,reconstructed_112.bin,reconstructed_112.bin,valid,zip,46001,100.0,96.87,60.0,95.06,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
36,122,13,0.9467096652500616,reconstructed_122.bin,reconstructed_122.bin,valid,jpeg,49610,100.0,94.67,65.0,94.9,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
37,21,12,0.9613382298595712,reconstructed_021.bin,reconstructed_021.bin,valid,png,47058,100.0,96.13,60.0,94.84,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
38,101,11,0.9755262195121952,reconstructed_101.bin,reconstructed_101.bin,valid,png,41410,100.0,97.55,55.0,94.77,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
39,103,11,0.9744880952380952,reconstructed_103.bin,reconstructed_103.bin,valid,jpeg,43758,100.0,97.45,55.0,94.73,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
40,128,12,0.9526309295840892,reconstructed_128.bin,reconstructed_128.bin,valid,png,48916,100.0,95.26,60.0,94.58,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
41,75,10,0.984675925925926,reconstructed_075.bin,reconstructed_075.bin,valid,zip,40305,100.0,98.47,50.0,94.54,HIGH,integrity validation passed; very high reconstruction confidence; substantial reconstructed fragment chain
